Area Name,Total - Persons,Total - Males,Total - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Literate w/o education level - Persons,Literate w/o education level - Males,Literate w/o education level - Females,Bellow primary - Persons,Bellow primary - Males,Bellow primary - Females,Primary - Persons,Primary - Males,Primary - Females,Middle - Persons,Middle - Males,Middle - Females,Matric/Secondary - Persons,Matric/Secondary - Males,Matric/Secondary - Females,Higher second/Interm/Pre-University/Senior second - Persons,Higher second/Interm/Pre-University/Senior second - Males,Higher second/Interm/Pre-University/Senior second - Females,Non-technical diploma - Persons,Non-technical diploma - Males,Non-technical diploma - Females,Technical diploma - Persons,Technical diploma - Males,Technical diploma - Females,Graduate_Persons,Graduate_Males,Graduate_Females,Unclassified_Persons,Unclassified_Males,Unclassified_Females,illiterate_persons_rate,illiterate_males_rate,illiterate_females_rate,literate_persons_rate,literate_males_rate,literate_females_rate,literate_w_o_education_level_persons_rate,literate_w_o_education_level_males_rate,literate_w_o_education_level_females_rate,bellow_primary_persons_rate,bellow_primary_males_rate,bellow_primary_females_rate,primary_persons_rate,primary_males_rate,primary_females_rate,middle_persons_rate,middle_males_rate,middle_females_rate,matric_secondary_persons_rate,matric_secondary_males_rate,matric_secondary_females_rate,higher_second_interm_pre-university_senior_second_persons_rate,higher_second_interm_pre-university_senior_second_males_rate,higher_second_interm_pre-university_senior_second_females_rate,non-technical_diploma_persons_rate,non-technical_diploma_males_rate,non-technical_diploma_females_rate,technical_diploma_persons_rate,technical_diploma_males_rate,technical_diploma_females_rate,graduate_persons_rate,graduate_males_rate,graduate_females_rate,unclassified_persons_rate,unclassified_males_rate,unclassified_females_rate,State,Score_mean,Score_std,Rank_mean,TLR_mean,RPC_mean,GO_mean,OI_mean,PERCEPTION_mean,n_institutos,tiene_ranking
Maharashtra,96878627,50400596,46478031,32912684,13215633,19697051,63965943,37184963,26780980,1261736,718887,542849,16071905,8673106,7398799,16278061,8563920,7714141,9535895,5713721,3822174,10487706,6674318,3813388,4964518,3250832,1713686,15050,10325,4725,464379,403659,60720,4886347,3175958,1710389,346,237,109,0.3397311153057526,0.2622118397171335,0.4237927161759499,0.6602688846942474,0.7377881602828665,0.5762072838240501,0.013023883998686314,0.014263462281279372,0.011679690131451566,0.16589732428804962,0.17208340155342608,0.1591891661675599,0.16802530655187753,0.16991703828264254,0.16597392002255862,0.09843135989117599,0.1133661395591433,0.08223614292094258,0.10825613785794054,0.1324253784617944,0.08204710737423451,0.05124471881708233,0.06449987218405116,0.03687088207329609,0.00015534902244227717,0.00020485868857582557,0.00010166093309761767,0.004793410212141012,0.008009012433106942,0.0013064236735846233,0.050437822575664704,0.06301429451350139,0.03679994533331242,3.5714791870450435e-06,4.702325345517739e-06,2.3451940121990107e-06,Maharashtra,53.61912280701754,9.96925278055012,57.719298245614034,66.48280701754386,37.2240350877193,72.67859649122808,59.619473684210526,20.06842105263158,57.0,True
Manipur,2166788,1095634,1071154,856254,342168,514086,1310534,753466,557068,37486,21376,16110,209287,110301,98986,259393,139630,119763,307529,181974,125555,218159,131373,86786,129602,74868,54734,142,117,25,2278,1727,551,146306,91875,54431,352,225,127,0.39517202421279796,0.3123013707132126,0.4799365917505793,0.604827975787202,0.6876986292867874,0.5200634082494208,0.017300261954561313,0.019510164890830333,0.015039854213306397,0.09658859103890183,0.10067321751606832,0.092410615093628,0.11971314221788196,0.12744219328717438,0.11180745252316661,0.14192851354170322,0.16609013593955646,0.11721470488837273,0.1006831309754346,0.11990591748704403,0.08102102965586648,0.05981295816665036,0.06833303822261813,0.051098161422167124,6.553479159013249e-05,0.00010678748560194371,2.3339314421642454e-05,0.0010513257411431114,0.0015762563045688615,0.0005143984898529996,0.06752206491821074,0.08385555760409041,0.050815288931376816,0.00016245244112483547,0.00020536054923450716,0.00011856371726194366,,,,,,,,,,,False
Meghalaya,2318822,1176087,1142735,1160947,561815,599132,1157875,614272,543603,44773,24987,19786,466756,240076,226680,259627,132392,127235,150587,81046,69541,129021,74479,54542,53734,30166,23568,91,77,14,1549,1285,264,51642,29707,21935,95,57,38,0.5006624053075225,0.4776985035970978,0.5242965341920918,0.49933759469247746,0.5223014964029021,0.47570346580790823,0.019308510959444063,0.021245877218267015,0.017314600497928215,0.20129013783722943,0.20413115696372802,0.19836620038766642,0.11196504086988997,0.11256990341700912,0.11134252473233076,0.06494116409107728,0.06891156861694755,0.060854878865178715,0.055640752071525974,0.06332779802854721,0.047729351074396076,0.02317297317344755,0.025649463007413567,0.020624204211825137,3.924406444306635e-05,6.547134693266739e-05,1.225130935868771e-05,0.0006680116024429646,0.0010926062442659428,0.00023102469076382537,0.022270790944712446,0.025259185757516237,0.01919517648448678,4.09690782647396e-05,4.846580227483171e-05,3.3253553973580924e-05,Meghalaya,42.79,,90.0,55.53,16.31,74.61,51.63,11.62,1.0,True
Mizoram,888573,459109,429464,227128,109004,118124,661445,350105,311340,14841,7018,7823,239221,118903,120318,174269,93007,81262,123034,65909,57125,57269,31931,25338,25245,14852,10393,37,28,9,1063,834,229,26419,17585,8834,47,38,9,0.25560983734594683,0.23742509948617865,0.27504982955498014,0.7443901626540532,0.7625749005138214,0.7249501704450199,0.01670206049474832,0.015286130308924461,0.01821572937428981,0.269219298808314,0.25898642805956756,0.2801585231823855,0.19612232197017015,0.2025815220350723,0.1892172568597135,0.1384624560953349,0.1435585013580653,0.1330146415066222,0.06445052910678133,0.0695499325868149,0.05899912449006203,0.028410721460138896,0.032349616322049884,0.024199932939664326,4.163979774312296e-05,6.098769573238599e-05,2.0956354898198686e-05,0.0011963001351605327,0.0018165620800289256,0.0005332228079652777,0.0297319409885288,0.038302451051928844,0.0205698265745208,5.28937971331562e-05,8.276901563680956e-05,2.0956354898198686e-05,,,,,,,,,,,False
Nagaland,1990036,1047141,942895,857713,406940,450773,1132323,640201,492122,32467,18164,14303,229652,121699,107953,310520,166630,143890,229783,129968,99815,184401,111442,72959,85536,51450,34086,456,342,114,1779,1484,295,57511,38902,18609,218,120,98,0.4310037607359867,0.3886200616726878,0.4780733803869996,0.5689962392640133,0.6113799383273122,0.5219266196130004,0.016314780235131426,0.017346279058885097,0.0151692394169022,0.11540092742040847,0.11622026069077612,0.11449100907312054,0.15603737821828348,0.15912852232889363,0.15260447875956495,0.11546675537527964,0.12411700048035555,0.10586014349423849,0.09266214279540672,0.10642501821626696,0.07737765074584127,0.042982137006566716,0.04913378427547006,0.0361503666898223,0.00022914158336834108,0.0003266035806066232,0.00012090423642081037,0.0008939536772199096,0.0014171921450883882,0.0003128662258257812,0.02889947719538742,0.037150679803388466,0.01973602575048123,0.00010954575696118061,0.00011459774758127129,0.0001039352207828019,,,,,,,,,,,False
Odisha,36804660,18660570,18144090,16967605,6668237,10299368,19837055,11992333,7844722,427084,278436,148648,5755797,3328385,2427412,5798954,3280957,2517997,2875760,1783236,1092524,2616294,1665245,951049,1021802,664408,357394,8944,7495,1449,145863,116593,29270,1185640,866710,318930,917,868,49,0.4610178439360668,0.3573436931454934,0.5676431278724918,0.5389821560639332,0.6426563068545066,0.4323568721275082,0.011604074049318755,0.014921087619510016,0.008192640137918187,0.15638772372846266,0.17836459443629,0.13378527112685176,0.15756031980732874,0.1758229786121217,0.13877780588610397,0.07813575780892963,0.09556171113744114,0.060213766576334225,0.07108594400817722,0.0892386995681268,0.052416461779014545,0.027762843074762816,0.03560491453369324,0.019697543387406036,0.00024301270545631993,0.00040164903858778164,7.986071497661221e-05,0.003963166620748569,0.006248094243637788,0.0016131974654005794,0.03221439893752585,0.046446062472904094,0.017577624449614172,2.491532322265713e-05,4.651519219402194e-05,2.7006038880979976e-06,Odisha,54.205499999999994,4.8791538038993245,43.9,64.0005,40.1325,71.73949999999999,66.90650000000001,19.27,20.0,True
Pondicherry,974345,486961,487384,277978,108203,169775,696367,378758,317609,10668,6038,4630,96631,48838,47793,182684,90538,92146,141966,74858,67108,125899,73213,52686,54479,29288,25191,1219,835,384,14451,11628,2823,68364,43519,24845,6,3,3,0.2852973022902565,0.222200545834266,0.3483392971455772,0.7147026977097435,0.777799454165734,0.6516607028544228,0.010948893872293695,0.012399350255975324,0.009499696338000426,0.09917534343584665,0.10029139910588322,0.09806025638921262,0.18749416274522884,0.18592454015824675,0.18906242305861498,0.145704037071058,0.1537248362805235,0.13769019910378674,0.12921398477951854,0.15034674234692305,0.10809956830753574,0.05591345981146308,0.06014444688589025,0.05168614480573839,0.0012510968907317223,0.0017147163735904928,0.0007878797826764933,0.014831502188649811,0.023878708972587127,0.005792147464832658,0.07016405893189784,0.08936855312848462,0.050976232293222595,6.157983055283293e-06,6.160657629666442e-06,6.155310802160104e-06,Pondicherry,51.992,5.619049741726797,52.4,66.062,31.112000000000002,70.05199999999999,67.73,20.564,5.0,True
Punjab,24358999,12985045,11373954,9602029,4542752,5059277,14756970,8442293,6314677,245444,125467,119977,2705535,1538004,1167531,3785055,1997111,1787944,2498421,1480902,1017519,3251624,1995039,1256585,1151238,672735,478503,19906,8343,11563,129741,81951,47790,966747,540747,426000,3259,1994,1265,0.39418816019492425,0.3498449177496112,0.4448125075941049,0.6058118398050757,0.6501550822503888,0.555187492405895,0.010076111912480475,0.0096624231952989,0.01054839856043026,0.1110692192236635,0.11844425645040121,0.10264952715651919,0.15538631123553148,0.15380085321229153,0.15719634526392492,0.1025666530878383,0.1140467360721507,0.0894604462089437,0.13348758707203034,0.15364128503212734,0.11047917021644364,0.04726130166514642,0.05180844579283322,0.04207006639907283,0.0008171928575554356,0.0006425083625047122,0.0010166209569688783,0.005326204085808288,0.006311183365171241,0.004201705053493271,0.03968746827404525,0.041643829497702935,0.03745399357162865,0.0001337903909762466,0.00015356126990703536,0.00011121901846974236,Punjab,51.29794117647059,4.1541157243125,57.029411764705884,61.73147058823529,35.31235294117647,68.82529411764706,65.54117647058824,18.671764705882353,34.0,True
Rajasthan,56507188,29420011,27087177,28805178,11372854,17432324,27702010,18047157,9654853,1745915,864680,881235,8994262,5247851,3746411,7047927,4591114,2456813,4330343,3163807,1166536,2903808,2190474,713334,1168642,871281,297361,7034,5456,1578,32231,26280,5951,1471813,1086184,385629,35,30,5,0.5097613068270181,0.38656865220070785,0.6435637054389242,0.4902386931729818,0.6134313477992921,0.3564362945610759,0.030897219659913,0.029390879561533814,0.03253329056771032,0.1591702280424926,0.17837692174894157,0.13830939266945388,0.12472620297438973,0.1560541224814634,0.09070022320893757,0.07663348953057088,0.10753928678000835,0.04306598653672917,0.0513882941759551,0.0744552406863478,0.026334748726306915,0.02068129810317229,0.029615250653713215,0.010977925089794333,0.0001244797387546519,0.00018545200407980812,5.825634764375778e-05,0.0005703876115725312,0.0008932695504430641,0.00021969805122180137,0.0260464739459341,0.036919904618662444,0.014236588774090411,6.19390226956613e-07,1.019714098679297e-06,1.845891877178637e-07,Rajasthan,51.27315789473685,5.583364231388714,64.52631578947368,61.06421052631579,37.87421052631579,69.83,63.416315789473686,12.823684210526316,19.0,True
Sikkim,540851,288484,252367,222516,99424,123092,318335,189060,129275,7680,5504,2176,109121,63583,45538,84475,48077,36398,47836,27788,20048,35862,22157,13705,18132,11421,6711,46,38,8,654,555,99,14348,9761,4587,181,176,5,0.4114183018983047,0.3446430304626946,0.48774998315944634,0.5885816981016952,0.6553569695373054,0.5122500168405536,0.014199844319415143,0.019079047711484866,0.008622363462734827,0.2017579703097526,0.2204039045492991,0.18044356037041293,0.15618904282325446,0.16665395654525034,0.14422646384035948,0.08844580115410713,0.09632423288639924,0.07943986337357896,0.066306616794644,0.07680495278767627,0.054305832379035295,0.033524944947869194,0.03958971728068108,0.026592224815447346,8.505115087149696e-05,0.00013172307649644347,3.169986567181922e-05,0.0012092054928251959,0.001923850196198056,0.0003922858376887628,0.026528563319657354,0.03383549867583644,0.01817591047957934,0.00033465778929871626,0.0006100858279835277,1.981241604488701e-05,,,,,,,,,,,False
Tamil Nadu,62405679,31400909,31004770,21881134,8591247,13289887,40524545,22809662,17714883,4184273,2372243,1812030,6492687,3432035,3060652,11652060,6365777,5286283,6967676,3793706,3173970,6005920,3626919,2379001,2549494,1416016,1133478,36055,27213,8842,438918,383604,55314,2196698,1391600,805098,764,549,215,0.35062728826330053,0.27359867193653536,0.4286400769946044,0.6493727117366995,0.7264013280634647,0.5713599230053956,0.06704955489707916,0.07554695311527447,0.058443587873736845,0.10404000251323281,0.10929731365420027,0.09871552022479121,0.18671473793274487,0.2027258828717347,0.170499023214815,0.11165131301591959,0.12081516493678575,0.1023703772032497,0.09623995918704771,0.11550363080253505,0.07673016119777698,0.0408535575744637,0.04509474550561578,0.036558181208891406,0.0005777519062007161,0.0008666309628170318,0.0002851819252327948,0.007033302209563332,0.012216334246884382,0.0017840480674425258,0.035200290024887,0.04431718839731678,0.025966907672593603,1.2242475560597618e-05,1.7483570300464868e-05,6.934416865533916e-06,Tamil Nadu,54.69866666666667,9.868023287138394,51.13333333333333,63.70255555555555,41.64633333333333,71.85611111111112,60.94444444444444,26.293888888888887,90.0,True
Tripura,3199203,1642225,1556978,1177104,491518,685586,2022099,1150707,871392,27812,15172,12640,648085,348424,299661,641795,353322,288473,388737,225256,163481,159611,101656,57955,52876,35483,17393,116,100,16,3090,2814,276,99850,68402,31448,127,78,49,0.36793663921920555,0.2993000350134726,0.44033120570746664,0.6320633607807945,0.7006999649865274,0.5596687942925334,0.008693415203724178,0.009238685320221042,0.008118290688757324,0.20257701683825627,0.21216581162751755,0.1924632204180149,0.20061090215281743,0.21514835056097673,0.18527750552673192,0.12151057622789176,0.137165126581315,0.10499891456398228,0.049890863443176316,0.06190138379332917,0.03722274816985211,0.01652786647174312,0.021606661693738677,0.011170999204869947,3.625903076484987e-05,6.0892995783160044e-05,1.0276317327540915e-05,0.0009658655608912594,0.0017135289013381237,0.0001772664739000808,0.031210898464398788,0.04165202697559713,0.02019810170728167,3.969738713048219e-05,4.749653671086483e-05,3.1471221815594054e-05,,,,,,,,,,,False
Uttar Pradesh,166197921,87565369,78632552,90478637,38663956,51814681,75719284,48901413,26817871,3272335,1961714,1310621,19226939,11278968,7947971,18694554,11368153,7326401,14329834,9819868,4509966,9121682,6561958,2559724,5961518,4205753,1755765,30477,21973,8504,95153,83190,11963,4969397,3588610,1380787,17395,11226,6169,0.5444029411174163,0.4415439167509247,0.6589469587607941,0.4555970588825837,0.5584560832490754,0.3410530412392059,0.019689385885880005,0.02240285197679005,0.01666766455703994,0.11568700068155485,0.12880626358121097,0.10107736297303438,0.11248368142944459,0.12982475983170927,0.09317262143545843,0.08622149972622101,0.11214328349372912,0.05735494887664335,0.05488445309734049,0.07493782159474484,0.032552981365783475,0.035869991418244034,0.04802986669307589,0.02232872970980263,0.00018337774514038597,0.0002509325347558348,0.0001081485947448329,0.0005725282207350836,0.0009500331118344285,0.0001521380102225348,0.029900476312215724,0.0409820690643124,0.01755999220272032,0.00010466436580756025,0.00012820136691252907,7.845351375598238e-05,Uttar Pradesh,57.13926829268293,10.257583874929784,44.951219512195124,66.65317073170732,42.14731707317073,77.38609756097561,62.238292682926826,27.990243902439023,41.0,True
Uttarakhand,8489349,4325924,4163425,3383567,1317049,2066518,5105782,3008875,2096907,109432,60951,48481,1156890,625981,530909,1275501,696187,579314,977893,613423,364470,643644,423212,220432,458895,283781,175114,1481,1018,463,20619,16852,3767,460155,286826,173329,1272,644,628,0.39856613269168223,0.30445495575049397,0.49635048067396437,0.6014338673083177,0.695545044249506,0.5036495193260356,0.012890505502836554,0.014089706615280343,0.011644499420549187,0.13627546705878155,0.14470457640957168,0.12751736851270287,0.15024720976838155,0.1609337103471998,0.1391436137314831,0.11519057586158844,0.14180161278838926,0.08754090682551025,0.07581782772742644,0.09783158465104796,0.05294487110972337,0.05405538163173643,0.06560008913702599,0.04206008274437512,0.00017445389511021398,0.00023532544723393198,0.00011120651867152644,0.0024288081453595557,0.0038955839261161315,0.0009047839218912314,0.054203802906441945,0.06630398499834948,0.04163134918966956,0.00014983481065509264,0.0001488699292914069,0.00015083735145943544,Uttarakhand,57.216,10.745450731754877,54.266666666666666,67.82066666666667,45.23133333333333,66.7,66.382,33.184666666666665,15.0,True
West Bengal,80176197,41465985,38710212,32979796,14013559,18966237,47196401,27452426,19743975,892580,522069,370511,16347698,8924186,7423512,11449999,6340039,5109960,8050643,4770466,3280177,4859685,3073368,1786317,2287115,1521602,765513,5196,4228,968,95799,87427,8372,3186374,2193106,993268,21312,15935,5377,0.411341485802825,0.3379531198885062,0.48995435623034045,0.588658514197175,0.6620468801114938,0.5100456437696596,0.011132730578378517,0.012590295395129285,0.009571401985605245,0.20389714917508497,0.2152170266786138,0.1917714116368053,0.14281045283302723,0.1528973446549021,0.13200547700436258,0.10041188409073581,0.11504528350164599,0.08473673561901443,0.06061256559724328,0.07411781005563958,0.04614588522532504,0.02852610981286628,0.03669518522229726,0.019775479400629476,6.480726443036453e-05,0.00010196309095274115,2.500632132936911e-05,0.001194855874742974,0.0021084028270400425,0.00021627367992714687,0.03974214441725142,0.05288927780203461,0.025659068981590698,0.0002658145534141511,0.00038429088323839407,0.0001389039150702662,West Bengal,57.43933333333334,9.973846120568613,41.6,63.737,45.544666666666664,78.24,54.525333333333336,35.550666666666665,30.0,True
