Area Name,Total - Persons,Total - Males,Total - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Literate w/o education level - Persons,Literate w/o education level - Males,Literate w/o education level - Females,Bellow primary - Persons,Bellow primary - Males,Bellow primary - Females,Primary - Persons,Primary - Males,Primary - Females,Middle - Persons,Middle - Males,Middle - Females,Matric/Secondary - Persons,Matric/Secondary - Males,Matric/Secondary - Females,Higher second/Interm/Pre-University/Senior second - Persons,Higher second/Interm/Pre-University/Senior second - Males,Higher second/Interm/Pre-University/Senior second - Females,Non-technical diploma - Persons,Non-technical diploma - Males,Non-technical diploma - Females,Technical diploma - Persons,Technical diploma - Males,Technical diploma - Females,Graduate_Persons,Graduate_Males,Graduate_Females,Unclassified_Persons,Unclassified_Males,Unclassified_Females,illiterate_persons_rate,illiterate_males_rate,illiterate_females_rate,literate_persons_rate,literate_males_rate,literate_females_rate,literate_w_o_education_level_persons_rate,literate_w_o_education_level_males_rate,literate_w_o_education_level_females_rate,bellow_primary_persons_rate,bellow_primary_males_rate,bellow_primary_females_rate,primary_persons_rate,primary_males_rate,primary_females_rate,middle_persons_rate,middle_males_rate,middle_females_rate,matric_secondary_persons_rate,matric_secondary_males_rate,matric_secondary_females_rate,higher_second_interm_pre-university_senior_second_persons_rate,higher_second_interm_pre-university_senior_second_males_rate,higher_second_interm_pre-university_senior_second_females_rate,non-technical_diploma_persons_rate,non-technical_diploma_males_rate,non-technical_diploma_females_rate,technical_diploma_persons_rate,technical_diploma_males_rate,technical_diploma_females_rate,graduate_persons_rate,graduate_males_rate,graduate_females_rate,unclassified_persons_rate,unclassified_males_rate,unclassified_females_rate,State,Score_mean,Score_std,Rank_mean,TLR_mean,RPC_mean,GO_mean,OI_mean,PERCEPTION_mean,n_institutos,tiene_ranking
Goa,1347668,687248,660420,362106,146216,215890,985562,541032,444530,18010,9796,8214,188906,97451,91455,193669,103532,90137,159258,88969,70289,154775,88654,66121,158096,86693,71403,469,255,214,14075,11713,2362,98297,53966,44331,7,3,4,0.26869080515379157,0.21275580285428258,0.3268980345840526,0.7313091948462084,0.7872441971457174,0.6731019654159475,0.013363825511921334,0.014253951994039997,0.012437539747433451,0.14017250539450368,0.14179888482760225,0.13848005814481693,0.1437067586378841,0.15064721905338394,0.1364843584385694,0.11817302184217478,0.12945690638604987,0.10643075618545773,0.11484653490325511,0.12899855656182338,0.10011962084733957,0.1173107916786627,0.12614514702116267,0.10811756155173981,0.0003480085599717438,0.00037104509580238867,0.0003240362193755489,0.01044396691173197,0.01704333806718972,0.0035765119166590955,0.07293858724849146,0.07852478290224199,0.06712546561279185,5.1941576115185636e-06,4.365236421204572e-06,6.056751764028951e-06,,,,,,,,,,,False
Gujarat,50671017,26385577,24285440,20843267,8552304,12290963,29827750,17833273,11994477,286886,168530,118356,8084263,4576820,3507443,8076854,4557086,3519768,4423384,2833064,1590320,4235270,2697364,1537906,2409406,1492908,916498,17477,13673,3804,407351,293339,114012,1875741,1192415,683326,11118,8074,3044,0.411344950901617,0.3241279885598105,0.5061041924708797,0.588655049098383,0.6758720114401895,0.4938958075291203,0.0056617375569943664,0.006387201613972664,0.004873537395245876,0.15954412361607032,0.1734591591459228,0.1444257546908765,0.15939790590743422,0.17271125054418934,0.14493326042270596,0.08729613617188697,0.1073716902230336,0.06548450429557792,0.08358367861454212,0.10222872897568243,0.06332625639066042,0.04754998306033605,0.05658045681547915,0.0377385791651294,0.0003449111747648562,0.0005181997725499806,0.00015663706319506666,0.00803913211372884,0.011117399479268542,0.004694664786802298,0.0370180255115069,0.04519192436079757,0.028137270726822327,0.00021941537111836535,0.0003060005092933916,0.00012534259210456966,Gujarat,51.34400000000001,5.805518830293194,57.4,67.102,30.163,72.626,62.385000000000005,14.0,10.0,True
Haryana,21144564,11363953,9780611,9050887,3883744,5167143,12093677,7480209,4613468,169982,93084,76898,2687232,1541553,1145679,3226643,1854447,1372196,2018523,1275057,743466,2239510,1559586,679924,831595,555791,275804,16446,6768,9678,103467,76712,26755,798689,516179,282510,1590,1032,558,0.4280479370489739,0.34175994920077546,0.5283047245207891,0.5719520629510261,0.6582400507992245,0.47169527547921086,0.008039040199646585,0.008191163761412951,0.00786228999394823,0.12708855098643793,0.13565288416803553,0.11713777390799,0.15259917395317302,0.16318678896331232,0.14029757445623797,0.09546297573220237,0.112201889606548,0.07601426945617201,0.10591421984392774,0.13723974395177452,0.06951753832148114,0.03932902092471616,0.04890824522065517,0.02819905627572756,0.0007777885606910598,0.000595567405109824,0.000989508733145608,0.004893314423508567,0.0067504679049622965,0.002735514171865132,0.03777278169462373,0.0454224863478404,0.028884698512189066,7.519663209891678e-05,9.08134695734838e-05,5.705165045414852e-05,,,,,,,,,,,False
Himachal Pradesh,6077900,3087940,2989960,2036279,809554,1226725,4041621,2278386,1763235,59560,30710,28850,816877,440504,376373,1109971,562768,547203,690693,391813,298880,812699,508847,303852,289868,171923,117945,6172,2692,3480,34456,24401,10055,220770,144396,76374,555,332,223,0.3350300268184735,0.2621663633360752,0.4102814084469357,0.6649699731815265,0.7378336366639248,0.5897185915530643,0.009799437305648332,0.009945141421141602,0.009648958514495177,0.1344011912009082,0.14265303082313777,0.12587894152430132,0.1826240971388144,0.18224706438596605,0.18301348513023585,0.11364007305154741,0.12688491356697346,0.09996120349436113,0.13371378272100562,0.16478526137165878,0.10162410199467552,0.04769213050560226,0.055675628412469154,0.03944701601359216,0.001015482321196466,0.0008717785967343925,0.0011638951691661428,0.005669063327794139,0.007902031775228793,0.003362921243093553,0.03632340117474786,0.046761271268224124,0.025543485531579018,9.131443426183386e-05,0.00010751504239072003,7.458293756438213e-05,Himachal Pradesh,49.86000000000001,3.5531957446783053,69.5,59.79333333333333,37.403333333333336,64.28,67.00333333333333,11.411666666666667,6.0,True
Jammu and Kashmir,10143700,5360926,4782774,5336414,2300298,3036116,4807286,3060628,1746658,246932,135290,111642,860480,496517,363963,1031707,617935,413772,1074049,710489,363560,914050,638612,275438,339163,225426,113737,1087,807,280,7493,6317,1176,331548,228649,102899,777,586,191,0.5260816073030551,0.4290859452266269,0.634802313469129,0.4739183926969449,0.5709140547733731,0.365197686530871,0.024343385549651507,0.025236311786433912,0.023342520470337927,0.08482900716701007,0.09261776790054554,0.07609872429682021,0.10170913966304208,0.11526646702454016,0.08651297343340915,0.10588335617181108,0.1325310216928941,0.0760144635728136,0.09011011760994508,0.11912344994129745,0.05758959131248936,0.033435827163658234,0.042049824974267506,0.02378055078496287,0.00010716010923035973,0.0001505336951116281,5.854343107159151e-05,0.0007386850951822313,0.0011783412044859415,0.00024588241050068434,0.032685114898902766,0.042651027080023114,0.02151450183512748,7.659926851148989e-05,0.00010930947377374729,3.993498333812135e-05,Jammu and Kashmir,49.13444444444444,3.283340947537703,78.55555555555556,68.55000000000001,25.224444444444444,77.51666666666667,51.78222222222222,3.1822222222222223,9.0,True
Jharkhand,26945829,13885037,13060792,15168628,6238180,8930448,11777201,7646857,4130344,317100,199931,117169,3147802,1864147,1283655,3087105,1924134,1162971,1906603,1279861,626742,1747816,1224552,523264,733016,520850,212166,8336,7101,1235,19614,18092,1522,808678,607692,200986,1131,497,634,0.5629304631896833,0.4492735597319618,0.6837600660051856,0.43706953681031674,0.5507264402680382,0.3162399339948144,0.01176805508563125,0.014399025368099488,0.008971048616347309,0.1168196383937566,0.13425581797153296,0.09828309033632876,0.11456708197769681,0.13857608013576053,0.08904291562104351,0.07075688782853926,0.09217555559988785,0.04798652332875372,0.06486406486139283,0.08819220287277592,0.04006372661014738,0.027203319667767505,0.037511603318017804,0.016244497270915884,0.0003093614228755033,0.0005114138334669184,9.455781854576659e-05,0.0007279048642370587,0.001302985364749118,0.00011653198366530912,0.03001124960749955,0.04376596187680307,0.015388500176712101,4.197310092036879e-05,3.5793926944523086e-05,4.854223235466884e-05,Jharkhand,55.38199999999999,2.1255046459605786,35.2,54.712,55.326,71.446,57.470000000000006,23.404,5.0,True
Karnataka,52850562,26898918,25951644,22415600,9237707,13177893,30434962,17661211,12773751,538542,318906,219636,7676809,4205270,3471539,8469455,4606498,3862957,3815098,2239919,1575179,5170384,3083899,2086485,2051687,1301965,749722,69039,54661,14378,416951,327689,89262,2226959,1522376,704583,38,28,10,0.42413172446491676,0.3434229956758855,0.5077864431247593,0.5758682755350832,0.6565770043241145,0.4922135568752407,0.010189901102659988,0.011855718508826265,0.00846327885817176,0.14525501166856086,0.15633602808856475,0.13376952149929308,0.16025288434964988,0.1712521670946021,0.14885211125738315,0.07218651714621313,0.08327171375443429,0.06069669420557711,0.09783025580692974,0.11464769698171502,0.080398952759987,0.038820533261311393,0.04840213275493089,0.02888919098921055,0.0013063058818560908,0.002032089171765199,0.0005540304113296252,0.007889244394411549,0.012182237218612288,0.0034395508816320074,0.042136902915053204,0.056596179816600804,0.02714984068061353,7.190084374126428e-07,1.0409340628496655e-06,3.85332042933388e-07,Karnataka,58.06612903225806,12.68120937382534,45.45161290322581,68.20483870967742,42.821290322580644,75.07709677419355,63.78774193548387,33.63580645161291,31.0,True
Kerala,31841374,15468614,16372760,6355686,2715012,3640674,25485688,12753602,12732086,285154,136951,148203,4931086,2408299,2522787,6055241,3098641,2956600,6034912,3088153,2946759,4531201,2248934,2282267,1565787,680945,884842,50052,16129,33923,588404,375193,213211,1443049,699841,743208,802,516,286,0.19960464017664564,0.17551747040814386,0.22236165435760372,0.8003953598233543,0.8244825295918561,0.7776383456423963,0.008955455251397128,0.008853475818841947,0.009051803116884386,0.1548641085651643,0.15568938497010787,0.15408440605004897,0.1901689606736192,0.2003179470377889,0.18058042749053915,0.1895305146065619,0.1996399289554966,0.17997936817005808,0.14230544825107108,0.14538691055320146,0.13939415223822985,0.04917460534209359,0.044021073898411325,0.05404354549874303,0.001571917091266225,0.0010426919955465951,0.0020719170133807617,0.018479227686594178,0.024255114259105568,0.01302230045514623,0.04531993500029239,0.045242644234318605,0.045392957570989864,2.5187355294404067e-05,3.335786903726475e-05,1.7468038375936617e-05,Kerala,51.0355,3.7334074671524204,57.4,66.135,30.2725,76.7415,57.3575,10.3025,20.0,True
Lakshadweep,60650,31131,29519,15967,6620,9347,44683,24511,20172,2488,1142,1346,12358,6455,5903,12994,6985,6009,9162,4802,4360,5295,3312,1983,626,481,145,114,61,53,683,510,173,959,759,200,4,4,0,0.2632646331409728,0.2126497703253991,0.3166435177343406,0.7367353668590272,0.7873502296746009,0.6833564822656594,0.041022258862324815,0.03668369149722142,0.045597750601307635,0.20375927452596868,0.20734958722816485,0.19997289881093533,0.2142456718878813,0.22437441778291736,0.20356380636200413,0.15106347897774114,0.1542513892904179,0.14770148040245265,0.08730420445177246,0.1063891298063024,0.0671770723940513,0.01032151690024732,0.015450836786482926,0.004912090517971476,0.0018796372629843363,0.001959461629886608,0.0017954537755344015,0.011261335531739488,0.0163823841187241,0.005860632135234934,0.015812036273701566,0.024380842247277632,0.006775297266167553,6.595218466611707e-05,0.00012848928720567924,0.0,,,,,,,,,,,False
Madhya Pradesh,60348023,31443652,28904371,28755460,11771378,16984082,31592563,19672274,11920289,1470687,747050,723637,10199261,5856136,4343125,8426081,5214064,3212017,4733325,3151625,1581700,2831003,1963617,867386,1918204,1336883,581321,6912,5607,1305,69071,62109,6962,1931049,1331211,599838,6970,3972,2998,0.47649381985554023,0.3743642118924354,0.5875956269728201,0.5235061801444597,0.6256357881075646,0.41240437302717986,0.024370094112279368,0.023758372596160267,0.02503555604098771,0.16900737576771985,0.18624223420358424,0.1502584159330089,0.13962480593606189,0.1658224687132398,0.11112564947356925,0.07843380387125523,0.10023088285037629,0.05472182736652529,0.046911279927098856,0.06244875754253991,0.03000881769750326,0.03178569743701463,0.04251678526400178,0.020111871661209996,0.0001145356493285621,0.00017831898152288416,4.514888076962478e-05,0.0011445445362808322,0.0019752476588915306,0.0002408632244583354,0.0319985461661271,0.0423363990925736,0.020752501412329642,0.00011549674129341403,0.00012632120467431709,0.00010372133681788128,Madhya Pradesh,53.516,3.955935624686868,47.3,66.003,41.513999999999996,68.582,63.206,12.258,10.0,True
