Area Name,Total - Persons,Total - Males,Total - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Literate w/o education level - Persons,Literate w/o education level - Males,Literate w/o education level - Females,Bellow primary - Persons,Bellow primary - Males,Bellow primary - Females,Primary - Persons,Primary - Males,Primary - Females,Middle - Persons,Middle - Males,Middle - Females,Matric/Secondary - Persons,Matric/Secondary - Males,Matric/Secondary - Females,Higher second/Interm/Pre-University/Senior second - Persons,Higher second/Interm/Pre-University/Senior second - Males,Higher second/Interm/Pre-University/Senior second - Females,Non-technical diploma - Persons,Non-technical diploma - Males,Non-technical diploma - Females,Technical diploma - Persons,Technical diploma - Males,Technical diploma - Females,Graduate_Persons,Graduate_Males,Graduate_Females,Unclassified_Persons,Unclassified_Males,Unclassified_Females,age_group
Delhi,1154976,631361,523615,250799,83452,167347,904177,547909,356268,10377,5669,4708,33984,19326,14658,132483,71507,60976,132395,83598,48797,187063,125170,61893,126957,82054,44903,829,553,276,5121,4006,1115,274818,155923,118895,150,103,47,adulto
Delhi,1056030,579176,476854,255710,89368,166342,800320,489808,310512,9969,5530,4439,32629,19357,13272,126925,69798,57127,117932,75129,42803,169863,113585,56278,102529,67280,35249,722,527,195,4445,3484,961,235175,135025,100150,131,93,38,adulto
Delhi,809408,463374,346034,188061,70236,117825,621347,393138,228209,7616,4300,3316,23089,14204,8885,93048,53480,39568,83184,54595,28589,132338,90090,42248,72878,49349,23529,670,475,195,3908,3127,781,204481,123420,81061,135,98,37,adulto
Delhi,623059,350852,272207,148937,51001,97936,474122,299851,174271,6129,3423,2706,17693,10467,7226,70209,39067,31142,61722,39610,22112,99748,67173,32575,52920,35434,17486,582,404,178,3209,2405,804,161781,101767,60014,129,101,28,adulto
Delhi,448834,257327,191507,113175,39784,73391,335659,217543,118116,4762,2666,2096,13294,7994,5300,48677,27671,21006,40958,26560,14398,72693,49040,23653,36808,24779,12029,539,399,140,3362,2497,865,114451,75849,38602,115,88,27,adulto_mayor
Delhi,310671,167430,143241,87761,26183,61578,222910,141247,81663,3543,1816,1727,10930,5675,5255,35463,18059,17404,28150,17031,11119,51958,33987,17971,22106,14989,7117,594,350,244,2595,1946,649,67490,47329,20161,81,65,16,adulto_mayor
Delhi,258619,131032,127587,90011,26993,63018,168608,104039,64569,3527,1735,1792,10920,5562,5358,30912,14990,15922,20894,11554,9340,39945,25960,13985,13627,9381,4246,636,216,420,1616,1275,341,46485,33336,13149,46,30,16,adulto_mayor
Delhi,192294,95854,96440,66205,18658,47547,126089,77196,48893,2635,1276,1359,10399,5075,5324,25686,11459,14227,16963,8538,8425,28532,19290,9242,8314,6035,2279,691,205,486,1003,854,149,31829,24438,7391,37,26,11,tercera_edad
Delhi,132818,69553,63265,50822,16575,34247,81996,52978,29018,2021,1036,985,7733,4294,3439,18489,9247,9242,11279,6198,5081,18779,13592,5187,4635,3382,1253,399,122,277,472,401,71,18153,14678,3475,36,28,8,tercera_edad
Delhi,65097,34548,30549,22361,6795,15566,42736,27753,14983,1010,489,521,3940,2145,1795,9821,4739,5082,5832,3216,2616,9749,7344,2405,2421,1768,653,217,69,148,230,193,37,9505,7783,1722,11,7,4,tercera_edad
Delhi,70822,35479,35343,32846,10082,22764,37976,25397,12579,1406,671,735,4832,2546,2286,9298,4808,4490,4991,3140,1851,7944,6405,1539,1952,1503,449,135,62,73,215,183,32,7193,6070,1123,10,9,1,tercera_edad
Delhi,21176,12726,8450,8038,4182,3856,13138,8544,4594,3917,2532,1385,1553,869,684,1777,1095,682,1348,886,462,1627,1173,454,925,617,308,17,13,4,52,44,8,1909,1306,603,13,9,4,desconocido
Rajasthan,10651002,5579616,5071386,10651002,5579616,5071386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,infancia
Rajasthan,1445249,758416,686833,512843,226243,286600,932406,532173,400233,12558,6673,5885,919848,525500,394348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Rajasthan,1993163,1048793,944370,545281,214764,330517,1447882,834029,613853,17589,8431,9158,1430293,825598,604695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Rajasthan,1211876,636737,575139,236337,79590,156747,975539,557147,418392,9668,3926,5742,886110,506699,379411,79761,46522,33239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Rajasthan,2019681,1075079,944602,413439,128828,284611,1606242,946251,659991,22844,8992,13852,1248621,731927,516694,334777,205332,129445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Rajasthan,1024477,551360,473117,153817,40368,113449,870660,510992,359668,10691,3605,7086,484895,278474,206421,375074,228913,146161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Rajasthan,1730909,928339,802570,341086,91128,249958,1389823,837211,552612,26621,8878,17743,576507,330968,245539,705416,447110,258306,81279,50255,31024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Rajasthan,1199638,621324,578314,223183,50274,172909,976455,571050,405405,20839,5866,14973,246888,129588,117300,547259,338952,208307,161469,96644,64825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Rajasthan,1267236,671316,595920,252508,59482,193026,1014728,611834,402894,27648,8497,19151,191270,98805,92465,471502,298684,172818,324308,205848,118460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Rajasthan,1318217,717316,600901,304200,82388,221812,1014017,634928,379089,35917,12670,23247,162781,86112,76669,369933,239317,130616,326680,224395,102285,118706,72434,46272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adolescencia
Rajasthan,1249834,669892,579942,294689,76501,218188,955145,593391,361754,38638,13821,24817,135441,69563,65878,278813,173689,105124,286787,199662,87125,215466,136656,78810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adolescencia
Rajasthan,767986,422212,345774,164920,41738,123182,603066,380474,222592,23521,8792,14729,72930,37377,35553,144836,89790,55046,154296,108783,45513,207483,135732,71751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adolescencia
