Area Name,Total - Persons,Total - Males,Total - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Literate w/o education level - Persons,Literate w/o education level - Males,Literate w/o education level - Females,Bellow primary - Persons,Bellow primary - Males,Bellow primary - Females,Primary - Persons,Primary - Males,Primary - Females,Middle - Persons,Middle - Males,Middle - Females,Matric/Secondary - Persons,Matric/Secondary - Males,Matric/Secondary - Females,Higher second/Interm/Pre-University/Senior second - Persons,Higher second/Interm/Pre-University/Senior second - Males,Higher second/Interm/Pre-University/Senior second - Females,Non-technical diploma - Persons,Non-technical diploma - Males,Non-technical diploma - Females,Technical diploma - Persons,Technical diploma - Males,Technical diploma - Females,Graduate_Persons,Graduate_Males,Graduate_Females,Unclassified_Persons,Unclassified_Males,Unclassified_Females,age_group
Uttar Pradesh,3386278,1778582,1607696,896548,390631,505917,2489730,1387951,1101779,39450,21826,17624,2203723,1227569,976154,246023,138246,107777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,310,224,ninez
Uttar Pradesh,6989425,3805802,3183623,1931764,844135,1087629,5057661,2961667,2095994,100271,57300,42971,3555499,2062714,1492785,1400987,841098,559889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,555,349,ninez
Uttar Pradesh,2663137,1430368,1232769,548099,220696,327403,2115038,1209672,905366,34938,19288,15650,1038059,584220,453839,1041682,605957,435725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,207,152,ninez
Uttar Pradesh,5738274,3120058,2618216,1448305,588573,859732,4289969,2531485,1758484,79353,43546,35807,1517564,876547,641017,2301180,1379290,921890,391193,231732,159461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,370,309,ninez
Uttar Pradesh,3047586,1585504,1462082,682982,247381,435601,2364604,1338123,1026481,40790,20861,19929,475342,259305,216037,1285825,739001,546824,562268,318744,243524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,212,167,ninez
Uttar Pradesh,3872012,2044323,1827689,982889,361807,621082,2889123,1682516,1206607,59777,30545,29232,402991,225535,177456,1203434,703061,500373,1222433,723100,499333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,275,213,ninez
Uttar Pradesh,3894270,2193030,1701240,1104337,465286,639051,2789933,1727744,1062189,69888,39287,30601,281775,169551,112224,882416,542298,340118,1081711,698302,383409,473608,278010,195598,0,0,0,0,0,0,0,0,0,0,0,0,535,296,239,adolescencia
Uttar Pradesh,3727299,2033407,1693892,1061224,419746,641478,2666075,1613661,1052414,69417,37143,32274,212603,124260,88343,632659,370009,262650,945673,611251,334422,805142,470674,334468,0,0,0,0,0,0,0,0,0,0,0,0,581,324,257,adolescencia
Uttar Pradesh,2052690,1134353,918337,524056,200485,323571,1528634,933868,594766,37606,20636,16970,94463,55911,38552,286912,166577,120335,461114,306222,154892,647992,384142,263850,0,0,0,0,0,0,0,0,0,0,0,0,547,380,167,adolescencia
Uttar Pradesh,4770256,2757926,2012330,1524976,631529,893447,3245280,2126397,1118883,103114,60874,42240,215466,138499,76967,634068,398111,235957,911130,643802,267328,728963,518635,210328,646704,362243,284461,1986,1276,710,2960,2329,631,0,0,0,889,628,261,adolescencia
Uttar Pradesh,1600326,857707,742619,464657,152243,312414,1135669,705464,430205,32681,18047,14634,70214,42122,28092,187528,107367,80161,272902,183987,88915,220011,153529,66482,348889,197686,151203,850,611,239,2055,1669,386,0,0,0,539,446,93,adolescencia
Uttar Pradesh,13311974,6974638,6337336,5142576,1679600,3462976,8169398,5295038,2874360,342093,191666,150427,442316,272952,169364,1500391,872075,628316,1983295,1353384,629911,1410986,1008813,402173,1496864,966911,529953,5596,3767,1829,16011,13550,2461,969563,610321,359242,2283,1599,684,juventud
Uttar Pradesh,11792446,5981334,5811112,5288184,1676230,3611954,6504262,4305104,2199158,326737,189089,137648,384541,233147,151394,1285881,738548,547333,1553554,1068370,485184,1119452,810147,309305,837950,590069,247881,4073,2687,1386,11900,10440,1460,978812,661738,317074,1362,869,493,juventud
Uttar Pradesh,10814273,5339396,5474877,5397449,1700870,3696579,5416824,3638526,1778298,303139,176666,126473,351635,214819,136816,1159353,663455,495898,1243131,864047,379084,909896,674124,235772,695286,513371,181915,3496,2378,1118,10715,9501,1214,739135,519524,219611,1038,641,397,adulto
Uttar Pradesh,9808560,5076548,4732012,5055924,1741906,3314018,4752636,3334642,1417994,272171,168215,103956,326474,214400,112074,1080513,658906,421607,1056555,768084,288471,776695,595234,181461,579788,445031,134757,3072,2238,834,9585,8564,1021,646905,473411,173494,878,559,319,adulto
Uttar Pradesh,8047432,4314100,3733332,4288241,1584625,2703616,3759191,2729475,1029716,228653,146134,82519,265733,182022,83711,881693,557994,323699,791052,588681,202371,589635,466373,123262,447316,358127,89189,2671,2019,652,9086,8046,1040,542617,419568,123049,735,511,224,adulto
Uttar Pradesh,6639015,3452212,3186803,3712229,1292890,2419339,2926786,2159322,767464,182884,115776,67108,217384,149989,67395,703129,450686,252443,601900,455742,146158,460876,371352,89524,330646,272040,58606,2329,1848,481,9402,8099,1303,417650,333383,84267,586,407,179,adulto
Uttar Pradesh,5334446,3013249,2321197,3171318,1327570,1843748,2163128,1685679,477449,154163,103837,50326,193980,145250,48730,554347,388512,165835,413133,329783,83350,335710,284209,51501,225225,194255,30970,2089,1756,333,9145,8121,1024,274881,229602,45279,455,354,101,adulto_mayor
Uttar Pradesh,4095223,1982803,2112420,2654030,886059,1767971,1441193,1096744,344449,111785,69121,42664,155995,112701,43294,396374,271585,124789,257088,200652,56436,216440,181912,34528,136816,118943,17873,1385,1087,298,7024,6344,680,157975,134179,23796,311,220,91,adulto_mayor
Uttar Pradesh,4292319,2263835,2028484,3029022,1266477,1762545,1263297,997358,265939,123019,80913,42106,179724,139604,40120,381881,285778,96103,218235,178726,39509,171613,148488,23125,88293,77732,10561,1086,851,235,3328,3008,320,95822,82009,13813,296,249,47,adulto_mayor
Uttar Pradesh,2906703,1467691,1439012,2076517,818388,1258129,830186,649303,180883,82722,53188,29534,147702,112782,34920,242988,180707,62281,133487,108095,25392,106511,91865,14646,53696,47724,5972,712,553,159,1774,1577,197,60385,52656,7729,209,156,53,tercera_edad
Uttar Pradesh,2239888,1252699,987189,1638395,765352,873043,601493,487347,114146,66784,45718,21066,126789,104517,22272,182465,143023,39442,93870,78549,15321,64238,55997,8241,29882,26473,3409,496,389,107,977,883,94,35855,31685,4170,137,113,24,tercera_edad
Uttar Pradesh,943157,498182,444975,671628,282158,389470,271529,216024,55505,28671,19056,9615,59127,48912,10215,79611,60931,18680,45320,37318,8002,28560,24023,4537,13185,11043,2142,230,184,46,478,424,54,16264,14071,2193,83,62,21,tercera_edad
Uttar Pradesh,1267401,692487,574914,918813,415900,502913,348588,276587,72001,41928,28474,13454,87289,69059,18230,98843,77149,21694,56057,47224,8833,31148,26662,4486,15064,12612,2452,311,252,59,449,407,42,17395,14667,2728,104,81,23,tercera_edad
Uttar Pradesh,736911,407756,329155,364148,168696,195452,372763,239060,133703,183478,114158,69320,53494,31631,21863,44371,27789,16582,34733,24073,10660,24206,17769,6437,15914,11493,4421,95,77,18,264,228,36,16138,11796,4342,70,46,24,desconocido
Bihar,16806063,8652705,8153358,16806063,8652705,8153358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,infancia
Bihar,1923438,996424,927014,1187133,571386,615747,736305,425038,311267,26289,15513,10776,709813,409406,300407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,119,84,ninez
Bihar,3618492,1911110,1707382,1959951,928018,1031933,1658541,983092,675449,49542,29309,20233,1608616,953585,655031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,198,185,ninez
Bihar,1462381,768304,694077,638224,286481,351743,824157,481823,342334,18612,10659,7953,702192,409557,292635,103174,61507,41667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,100,79,ninez
Bihar,3847307,2083648,1763659,1722754,783562,939192,2124553,1300086,824467,56722,34130,22592,1448259,877376,570883,619044,388269,230775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,311,217,ninez
Bihar,1089485,581455,508030,380801,161318,219483,708684,420137,288547,15805,9414,6391,335382,194811,140571,357298,215783,141515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,129,70,ninez
Bihar,3112657,1696778,1415879,1252736,550737,701999,1859921,1146041,713880,47066,28008,19058,647424,391742,255682,954192,593520,360672,210609,132385,78224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,386,244,ninez
Bihar,1241128,654351,586777,427862,174465,253397,813266,479886,333380,18203,10436,7767,171199,97441,73758,394489,232771,161718,229105,139098,90007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,140,130,ninez
Bihar,1773200,953969,819231,639239,270064,369175,1133961,683905,450056,32353,18344,14009,169879,98389,71490,435168,256940,178228,496168,310009,186159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,223,170,ninez
Bihar,1800531,1044419,756112,721752,348886,372866,1078779,695533,383246,40732,25144,15588,133024,83762,49262,349705,220640,129065,350322,235795,114527,204643,129991,74652,0,0,0,0,0,0,0,0,0,0,0,0,353,201,152,adolescencia
Bihar,1685072,932540,752532,650687,287983,362704,1034385,644557,389828,45761,26716,19045,103164,62223,40941,272957,161851,111106,290219,190721,99498,321930,202855,119075,0,0,0,0,0,0,0,0,0,0,0,0,354,191,163,adolescencia
Bihar,737694,402484,335210,255098,102600,152498,482596,299884,182712,20790,12179,8611,39034,22903,16131,105706,60999,44707,110082,71868,38214,206797,131819,74978,0,0,0,0,0,0,0,0,0,0,0,0,187,116,71,adolescencia
Bihar,2297248,1308137,989111,959042,406159,552883,1338206,901978,436228,70718,44292,26426,113983,72037,41946,311364,196444,114920,278462,197816,80646,333083,228130,104953,226146,159968,66178,1809,1377,432,2050,1559,491,0,0,0,591,355,236,adolescencia
Bihar,669643,341063,328580,264696,85186,179510,404947,255877,149070,18938,10856,8082,31823,18049,13774,81326,44947,36379,71269,46737,24532,96993,62576,34417,102833,71372,31461,672,528,144,834,634,200,0,0,0,259,178,81,adolescencia
Bihar,6323193,3180063,3143130,2992460,1008021,1984439,3330733,2172042,1158691,193632,116049,77583,257252,146223,111029,726319,411640,314679,521518,349150,172368,767100,510876,256224,550364,405038,145326,4946,3884,1062,8765,7122,1643,298364,220249,78115,2473,1811,662,juventud
Bihar,5908308,2894706,3013602,3095425,1044780,2050645,2812883,1849926,962957,180421,110162,70259,234276,132771,101505,631948,354771,277177,381354,253017,128337,619815,415470,204345,300663,221760,78903,3809,2899,910,7161,5909,1252,450907,351238,99669,2529,1929,600,juventud
Bihar,5549787,2713871,2835916,3171866,1110505,2061361,2377921,1603366,774555,163991,103482,60509,216101,125530,90571,568749,322908,245841,314191,213794,100397,515814,365217,150597,200847,151159,49688,3099,2407,692,5804,4737,1067,387200,312473,74727,2125,1659,466,adulto
Bihar,5077935,2576089,2501846,3038364,1140902,1897462,2039571,1435187,604384,147744,98639,49105,203966,126818,77148,533623,319755,213868,281164,200647,80517,426855,323148,103707,139241,110043,29198,2533,1967,566,5020,4138,882,297535,248490,49045,1890,1542,348,adulto
Bihar,4153203,2213770,1939433,2536516,1031627,1504889,1616687,1182143,434544,124268,87095,37173,164798,107474,57324,455956,287388,168568,234167,175939,58228,342158,273943,68215,90095,73765,16330,1965,1639,326,4262,3603,659,197611,170111,27500,1407,1186,221,adulto
Bihar,3461664,1778368,1683296,2139754,802059,1337695,1321910,976309,345601,101099,70609,30490,135369,88071,47298,378080,237211,140869,187062,140762,46300,284169,234325,49844,74311,63273,11038,1735,1453,282,3828,3252,576,155021,136308,18713,1236,1045,191,adulto
Bihar,2711041,1543620,1167421,1689924,738044,951880,1021117,805576,215541,82278,61194,21084,111016,78707,32309,293034,202126,90908,138220,110464,27756,215690,188517,27173,53817,48598,5219,1384,1225,159,3582,3160,422,121188,110773,10415,908,812,96,adulto_mayor
Bihar,2069940,990011,1079929,1372990,455899,917091,696950,534112,162838,57460,39603,17857,83643,55707,27936,205842,135228,70614,92539,72608,19931,141793,124539,17254,32733,29799,2934,968,860,108,2778,2455,323,78605,72784,5821,589,529,60,adulto_mayor
Bihar,2103909,1120743,983166,1480591,619499,861092,623318,501244,122074,60194,43771,16423,90046,66396,23650,203455,150771,52684,80642,67295,13347,112690,101962,10728,22000,20390,1610,749,650,99,1851,1630,221,51324,48052,3272,367,327,40,adulto_mayor
Bihar,1354937,683656,671281,951430,358962,592468,403507,324694,78813,38645,27720,10925,64472,47212,17260,134531,100488,34043,49809,41794,8015,68797,62856,5941,13538,12736,802,465,420,45,1174,1025,149,31826,30215,1611,250,228,22,tercera_edad
Bihar,1029921,571438,458483,737785,328340,409445,292136,243098,49038,30220,22362,7858,50594,39545,11049,102979,82767,20212,34377,29807,4570,45191,41609,3582,8693,8032,661,372,339,33,690,609,81,18856,17882,974,164,146,18,tercera_edad
Bihar,446860,233961,212899,312052,124442,187610,134808,109519,25289,13511,9751,3760,23142,17759,5383,48087,38035,10052,15847,13279,2568,20313,18047,2266,4415,3906,509,201,179,22,318,262,56,8887,8222,665,87,79,8,tercera_edad
Bihar,565647,312207,253440,401117,176582,224535,164530,135625,28905,18183,13142,5041,32179,24697,7482,58469,48238,10231,18495,15935,2560,22538,20243,2295,4522,4014,508,243,229,14,367,326,41,9442,8719,723,92,82,10,tercera_edad
Bihar,177825,103905,73920,102620,50207,52413,75205,53698,21507,41872,31152,10720,9683,5946,3737,9214,5920,3294,4605,3231,1374,5191,3795,1396,1875,1429,446,39,32,7,48,37,11,2649,2135,514,29,21,8,desconocido
Sikkim,78195,39842,38353,78195,39842,38353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,infancia
Sikkim,12784,6417,6367,6140,3035,3105,6644,3382,3262,54,29,25,6590,3353,3237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Sikkim,14060,7131,6929,4727,2387,2340,9333,4744,4589,62,42,20,9269,4700,4569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,ninez
Sikkim,12200,6054,6146,3071,1487,1584,9129,4567,4562,55,40,15,8576,4281,4295,493,241,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,ninez
Sikkim,15538,8051,7487,3073,1551,1522,12465,6500,5965,58,33,25,10558,5497,5061,1847,968,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,ninez
Sikkim,12285,6353,5932,1876,926,950,10409,5427,4982,50,39,11,7461,3936,3525,2896,1450,1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,ninez
Sikkim,16393,8512,7881,2347,1135,1212,14046,7377,6669,74,41,33,8213,4428,3785,5369,2718,2651,385,185,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,ninez
Sikkim,13384,6617,6767,1624,697,927,11760,5920,5840,74,40,34,5249,2794,2455,5373,2579,2794,1058,501,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,ninez
Sikkim,14068,6983,7085,1776,797,979,12292,6186,6106,62,35,27,3982,2143,1839,5946,2948,2998,2294,1052,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,ninez
Sikkim,13017,6496,6521,1807,802,1005,11210,5694,5516,91,59,32,2857,1635,1222,5134,2498,2636,2499,1200,1299,624,297,327,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,adolescencia
Sikkim,13180,6577,6603,1875,846,1029,11305,5731,5574,103,67,36,2256,1298,958,4613,2290,2323,3007,1458,1549,1322,614,708,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,adolescencia
Sikkim,11384,5829,5555,1669,756,913,9715,5073,4642,96,64,32,1760,1008,752,3401,1750,1651,2658,1366,1292,1794,879,915,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,adolescencia
Sikkim,15466,8345,7121,2568,1209,1359,12898,7136,5762,170,122,48,2434,1503,931,4090,2274,1816,3241,1692,1549,1970,1055,915,980,478,502,2,1,1,4,4,0,0,0,0,7,7,0,adolescencia
Sikkim,10397,5392,5005,1682,720,962,8715,4672,4043,137,105,32,1495,867,628,2509,1305,1204,1984,990,994,1478,814,664,1098,580,518,1,1,0,7,4,3,0,0,0,6,6,0,adolescencia
Sikkim,55171,29567,25604,10221,4088,6133,44950,25479,19471,733,467,266,7843,4649,3194,12136,6623,5513,9099,4954,4145,7332,4269,3063,5369,3169,2200,5,4,1,101,65,36,2310,1257,1053,22,22,0,juventud
Sikkim,47552,24964,22588,10965,3764,7201,36587,21200,15387,813,514,299,6172,3610,2562,9161,5134,4027,6927,3905,3022,6249,3593,2656,3688,2229,1459,4,3,1,94,68,26,3461,2128,1333,18,16,2,juventud
Sikkim,39153,21650,17503,11540,3848,7692,27613,17802,9811,684,407,277,4668,2790,1878,6418,4031,2387,5166,3336,1830,5333,3559,1774,2582,1755,827,6,4,2,110,98,12,2640,1817,823,6,5,1,adulto
Sikkim,36384,20383,16001,13798,4784,9014,22586,15599,6987,736,477,259,4638,3037,1601,5139,3522,1617,3995,2897,1098,4021,2791,1230,1822,1242,580,9,7,2,109,101,8,2107,1515,592,10,10,0,adulto
Sikkim,28129,16214,11915,12808,4823,7985,15321,11391,3930,664,468,196,3910,2861,1049,3391,2559,832,2246,1719,527,2429,1770,659,1148,836,312,6,6,0,75,71,4,1443,1093,350,9,8,1,adulto
Sikkim,22177,12832,9345,11118,4324,6794,11059,8508,2551,653,502,151,3180,2464,716,2409,1871,538,1394,1071,323,1461,1035,426,773,587,186,3,3,0,67,64,3,1105,898,207,14,13,1,adulto
Sikkim,16919,9771,7148,9756,4039,5717,7163,5732,1431,517,411,106,2548,2070,478,1541,1226,315,763,580,183,714,561,153,350,285,65,4,3,1,49,47,2,671,543,128,6,6,0,adulto_mayor
Sikkim,12037,7071,4966,7652,3364,4288,4385,3707,678,406,337,69,1707,1475,232,954,802,152,444,376,68,421,332,89,138,121,17,1,1,0,21,18,3,281,233,48,12,12,0,adulto_mayor
Sikkim,10469,5812,4657,7535,3320,4215,2934,2492,442,347,307,40,1276,1111,165,584,467,117,223,188,35,283,241,42,64,53,11,1,1,0,8,6,2,142,112,30,6,6,0,adulto_mayor
Sikkim,7593,4250,3343,5570,2485,3085,2023,1765,258,322,286,36,934,830,104,363,302,61,139,118,21,145,123,22,35,29,6,2,2,0,4,4,0,74,66,8,5,5,0,tercera_edad
Sikkim,5523,3233,2290,4208,2097,2111,1315,1136,179,275,245,30,563,509,54,212,173,39,81,60,21,104,80,24,22,18,4,2,2,0,2,2,0,48,41,7,6,6,0,tercera_edad
Sikkim,2749,1552,1197,2053,947,1106,696,605,91,165,148,17,270,249,21,134,108,26,38,20,18,53,45,8,10,9,1,0,0,0,0,0,0,23,23,0,3,3,0,tercera_edad
Sikkim,2706,1544,1162,2012,930,1082,694,614,80,161,143,18,250,226,24,108,94,14,64,50,14,67,62,5,13,9,4,0,0,0,2,2,0,24,23,1,5,5,0,tercera_edad
Sikkim,1938,1042,896,850,421,429,1088,621,467,118,76,42,462,259,203,254,144,110,131,70,61,62,37,25,40,21,19,0,0,0,1,1,0,19,12,7,1,1,0,desconocido
Arunachal Pradesh,205871,104833,101038,205871,104833,101038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,infancia
Arunachal Pradesh,30720,15903,14817,18008,8915,9093,12712,6988,5724,177,100,77,12535,6888,5647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Arunachal Pradesh,37307,19051,18256,19452,9327,10125,17855,9724,8131,232,144,88,17622,9580,8042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,ninez
Arunachal Pradesh,26121,13247,12874,10719,4957,5762,15402,8290,7112,156,84,72,14332,7718,6614,914,488,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Arunachal Pradesh,38726,20004,18722,15520,7156,8364,23206,12848,10358,204,107,97,18965,10536,8429,4037,2205,1832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Arunachal Pradesh,18974,9573,9401,5257,2237,3020,13717,7336,6381,77,44,33,8561,4620,3941,5079,2672,2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Arunachal Pradesh,35764,18284,17480,11215,4888,6327,24549,13396,11153,200,101,99,12962,7113,5849,10457,5693,4764,929,488,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,ninez
Arunachal Pradesh,22647,11351,11296,5509,2185,3324,17138,9166,7972,106,53,53,6049,3276,2773,8808,4681,4127,2175,1156,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Arunachal Pradesh,26695,13552,13143,6609,2714,3895,20086,10838,9248,134,68,66,5362,2909,2453,9350,4982,4368,5240,2879,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ninez
Arunachal Pradesh,26387,13867,12520,7056,2989,4067,19331,10878,8453,162,83,79,4221,2422,1799,7439,4175,3264,5580,3118,2462,1929,1080,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adolescencia
Arunachal Pradesh,24684,12716,11968,6349,2575,3774,18335,10141,8194,158,73,85,2971,1668,1303,6379,3487,2892,5449,3038,2411,3378,1875,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adolescencia
Arunachal Pradesh,15755,8466,7289,3679,1512,2167,12076,6954,5122,100,48,52,1559,914,645,3407,1954,1453,3284,1867,1417,3726,2171,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adolescencia
Arunachal Pradesh,28881,15060,13821,8723,3476,5247,20158,11584,8574,220,111,109,2958,1653,1305,6013,3383,2630,5089,3003,2086,3990,2391,1599,1848,1021,827,2,1,1,38,21,17,0,0,0,0,0,0,adolescencia
Arunachal Pradesh,14854,7449,7405,4275,1584,2691,10579,5865,4714,164,83,81,1419,804,615,2612,1378,1234,2671,1426,1245,2171,1297,874,1500,853,647,2,2,0,40,22,18,0,0,0,0,0,0,adolescencia
Arunachal Pradesh,86033,44512,41521,28663,10280,18383,57370,34232,23138,930,532,398,7292,4063,3229,13329,7384,5945,13214,7831,5383,11277,7226,4051,8157,5181,2976,18,14,4,253,189,64,2898,1810,1088,2,2,0,juventud
Arunachal Pradesh,92902,46972,45930,36331,12536,23795,56571,34436,22135,1191,640,551,7284,4186,3098,12908,7075,5833,11948,7459,4489,10523,6712,3811,6873,4423,2450,19,15,4,386,326,60,5435,3599,1836,4,1,3,juventud
Arunachal Pradesh,77342,41772,35570,33575,11896,21679,43767,29876,13891,971,571,400,5712,3533,2179,9412,5846,3566,8510,6013,2497,8429,6198,2231,5244,3729,1515,24,21,3,480,446,34,4980,3516,1464,5,3,2,adulto
Arunachal Pradesh,77268,42957,34311,37613,13893,23720,39655,29064,10591,1080,661,419,5737,3871,1866,8776,5982,2794,7534,5803,1731,7212,5452,1760,3882,2947,935,28,27,1,580,560,20,4822,3757,1065,4,4,0,adulto
Arunachal Pradesh,54374,31603,22771,31090,12985,18105,23284,18618,4666,716,473,243,3805,2847,958,5130,4024,1106,3721,3098,623,3898,3142,756,2006,1638,368,13,12,1,453,447,6,3538,2933,605,4,4,0,adulto
Arunachal Pradesh,46844,26700,20144,30292,13027,17265,16552,13673,2879,712,486,226,3332,2662,670,3939,3227,712,2373,1999,374,2478,2057,421,1214,1042,172,7,6,1,161,155,6,2329,2032,297,7,7,0,adulto
Arunachal Pradesh,35083,21181,13902,25100,12433,12667,9983,8748,1235,493,366,127,2213,1909,304,2484,2188,296,1330,1182,148,1509,1317,192,653,593,60,3,3,0,110,107,3,1183,1078,105,5,5,0,adulto_mayor
Arunachal Pradesh,23710,13762,9948,17986,8671,9315,5724,5091,633,342,236,106,1528,1339,189,1395,1250,145,695,619,76,771,705,66,329,311,18,3,3,0,57,55,2,604,573,31,0,0,0,adulto_mayor
Arunachal Pradesh,20000,10707,9293,17352,8434,8918,2648,2273,375,277,186,91,877,775,102,756,668,88,293,245,48,249,216,33,76,70,6,0,0,0,7,6,1,113,107,6,0,0,0,adulto_mayor
Arunachal Pradesh,11871,6173,5698,10327,4885,5442,1544,1288,256,166,114,52,572,489,83,421,359,62,166,134,32,141,119,22,30,28,2,1,1,0,0,0,0,46,43,3,1,1,0,tercera_edad
Arunachal Pradesh,8295,4404,3891,7427,3710,3717,868,694,174,117,71,46,341,286,55,224,186,38,75,56,19,64,51,13,20,20,0,1,0,1,2,2,0,24,22,2,0,0,0,tercera_edad
Arunachal Pradesh,4101,2160,1941,3606,1781,1825,495,379,116,60,40,20,180,142,38,137,104,33,54,43,11,49,37,12,7,5,2,0,0,0,1,1,0,7,7,0,0,0,0,tercera_edad
Arunachal Pradesh,5649,2973,2676,4911,2408,2503,738,565,173,74,45,29,263,205,58,167,126,41,88,73,15,74,58,16,28,23,5,0,0,0,2,2,0,42,33,9,0,0,0,tercera_edad
Arunachal Pradesh,1110,709,401,668,373,295,442,336,106,127,93,34,85,59,26,66,49,17,51,39,12,60,49,11,24,21,3,0,0,0,3,3,0,26,23,3,0,0,0,desconocido
Nagaland,289678,147524,142154,289678,147524,142154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,infancia
Nagaland,45168,23287,21881,21212,10638,10574,23956,12649,11307,491,264,227,23462,12382,11080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,ninez
Nagaland,62952,32748,30204,24519,12387,12132,38433,20361,18072,733,409,324,37696,19950,17746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,ninez
Nagaland,47392,24878,22514,14982,7593,7389,32410,17285,15125,386,221,165,27064,14436,12628,4957,2626,2331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,ninez
Nagaland,74025,38774,35251,21211,10560,10651,52814,28214,24600,715,392,323,32191,17353,14838,19904,10468,9436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,ninez
Nagaland,36483,19155,17328,8322,4201,4121,28161,14954,13207,263,152,111,11422,6120,5302,16474,8680,7794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,ninez
Nagaland,68636,35700,32936,15785,7725,8060,52851,27975,24876,593,306,287,14148,7602,6546,33184,17528,15656,4918,2535,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,ninez
Nagaland,45124,23521,21603,9299,4642,4657,35825,18879,16946,364,195,169,6000,3265,2735,21205,11236,9969,8252,4181,4071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,ninez
Nagaland,58951,30571,28380,12109,5749,6360,46842,24822,22020,531,283,248,5388,2860,2528,20954,11146,9808,19962,10531,9431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,ninez
Nagaland,56508,29797,26711,12262,6111,6151,44246,23686,20560,563,292,271,4015,2148,1867,15044,8091,6953,17880,9562,8318,6741,3592,3149,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,adolescencia
